date,restaurant_id,city,restaurant_type,weekday,weekday_name,month,is_weekend,is_holiday,weather,temperature,promotion_active,orders,delivery_orders,dine_in_orders,avg_order_value,revenue,staff_hours,hourly_wage,labor_cost,productivity_per_hour,personnel_cost_ratio,day_of_year,week_of_year,quarter,revenue_lag_1,revenue_lag_7,orders_lag_7,staff_hours_lag_7,revenue_rolling_7,orders_rolling_7,productivity_rolling_7
2024-01-01,R0001,Karlsruhe,casual_dining,0,Monday,1,0,1,rainy,7.2,0,180,29,151,14.27,2568.58,41.54,12.0,498.43,61.84,0.194,1,1,1,5052.95,5066.53,324.0,79.13,5199.927142857143,332.2857142857143,64.60285714285715
2024-01-02,R0001,Karlsruhe,casual_dining,1,Tuesday,1,0,0,cloudy,9.8,0,269,68,201,15.95,4289.22,78.13,12.0,937.59,54.9,0.2186,2,1,1,2568.58,5066.53,324.0,79.13,2568.58,180.0,61.84
2024-01-03,R0001,Karlsruhe,casual_dining,2,Wednesday,1,0,0,snowy,-6.3,0,191,47,144,17.77,3394.1,57.73,12.0,692.77,58.79,0.2041,3,1,1,4289.22,5066.53,324.0,79.13,3428.9,224.5,58.370000000000005
2024-01-04,R0001,Karlsruhe,casual_dining,3,Thursday,1,0,0,rainy,1.1,0,284,68,216,16.16,4588.34,65.74,12.0,788.88,69.8,0.1719,4,1,1,3394.1,5066.53,324.0,79.13,3417.2999999999997,213.33333333333334,58.51
2024-01-05,R0001,Karlsruhe,casual_dining,4,Friday,1,0,0,sunny,3.3,0,398,83,315,14.48,5761.18,103.73,12.0,1244.73,55.54,0.2161,5,1,1,4588.34,5066.53,324.0,79.13,3710.06,231.0,61.332499999999996
2024-01-06,R0001,Karlsruhe,casual_dining,5,Saturday,1,1,0,snowy,0.3,0,342,111,231,15.87,5426.26,92.38,12.0,1108.59,58.74,0.2043,6,1,1,5761.18,5066.53,324.0,79.13,4120.284,264.4,60.174
2024-01-07,R0001,Karlsruhe,casual_dining,6,Sunday,1,1,0,sunny,8.2,0,332,115,217,13.25,4397.95,65.81,12.0,789.72,66.83,0.1796,7,1,1,5426.26,5066.53,324.0,79.13,4337.946666666667,277.3333333333333,59.935
2024-01-08,R0001,Karlsruhe,casual_dining,0,Monday,1,0,0,cloudy,4.5,0,215,33,182,13.77,2960.5,48.47,12.0,581.59,61.08,0.1964,8,2,1,4397.95,2568.58,180.0,41.54,4346.518571428572,285.14285714285717,60.92
2024-01-09,R0001,Karlsruhe,casual_dining,1,Tuesday,1,0,0,rainy,6.6,0,185,33,152,15.92,2945.58,48.31,12.0,579.76,60.97,0.1968,9,2,1,2960.5,4289.22,269.0,78.13,4402.507142857144,290.14285714285717,60.81142857142857
2024-01-10,R0001,Karlsruhe,casual_dining,2,Wednesday,1,0,0,snowy,7.5,0,236,56,180,16.84,3974.14,65.62,12.0,787.49,60.56,0.1982,10,2,1,2945.58,3394.1,191.0,57.73,4210.558571428572,278.14285714285717,61.67857142857143
2024-01-11,R0001,Karlsruhe,casual_dining,3,Thursday,1,0,0,sunny,0.5,0,342,89,253,15.34,5246.13,80.08,12.0,960.96,65.51,0.1832,11,2,1,3974.14,4588.34,284.0,65.74,4293.421428571428,284.57142857142856,61.931428571428576
2024-01-12,R0001,Karlsruhe,casual_dining,4,Friday,1,0,0,sunny,3.4,0,308,15,293,13.92,4288.77,62.69,12.0,752.31,68.41,0.1754,12,2,1,5246.13,5761.18,398.0,103.73,4387.391428571429,292.85714285714283,61.31857142857143
2024-01-13,R0001,Karlsruhe,casual_dining,5,Saturday,1,1,0,snowy,7.7,0,351,75,276,17.58,6169.67,109.85,12.0,1318.15,56.17,0.2137,13,2,1,4288.77,5426.26,342.0,92.38,4177.047142857143,280.0,63.15714285714286
2024-01-14,R0001,Karlsruhe,casual_dining,6,Sunday,1,1,0,rainy,4.5,1,298,57,241,14.7,4379.66,74.2,12.0,890.38,59.03,0.2033,14,2,1,6169.67,4397.95,332.0,65.81,4283.248571428571,281.2857142857143,62.79
2024-01-15,R0001,Karlsruhe,casual_dining,0,Monday,1,0,0,cloudy,12.6,1,261,54,207,16.47,4298.28,55.06,12.0,660.75,78.06,0.1537,15,3,1,4379.66,2960.5,215.0,48.47,4280.635714285714,276.42857142857144,61.675714285714285
2024-01-16,R0001,Karlsruhe,casual_dining,1,Tuesday,1,0,0,sunny,8.6,0,247,62,185,15.0,3705.21,57.0,12.0,684.04,65.0,0.1846,16,3,1,4298.28,2945.58,185.0,48.31,4471.7471428571425,283.0,64.10142857142857
2024-01-17,R0001,Karlsruhe,casual_dining,2,Wednesday,1,0,0,sunny,5.6,0,288,87,201,13.93,4012.27,60.83,12.0,729.99,65.96,0.1819,17,3,1,3705.21,3974.14,236.0,65.62,4580.265714285714,291.85714285714283,64.67714285714285
2024-01-18,R0001,Karlsruhe,casual_dining,3,Thursday,1,0,0,sunny,9.6,0,326,125,201,18.39,5994.4,94.65,12.0,1135.84,63.33,0.1895,18,3,1,4012.27,5246.13,342.0,80.08,4585.7128571428575,299.2857142857143,65.44857142857143
2024-01-19,R0001,Karlsruhe,casual_dining,4,Friday,1,0,0,cloudy,4.8,0,348,85,263,15.82,5504.59,79.13,12.0,949.52,69.57,0.1725,19,3,1,5994.4,4288.77,308.0,62.69,4692.608571428572,297.0,65.13714285714285
2024-01-20,R0001,Karlsruhe,casual_dining,5,Saturday,1,1,0,cloudy,-3.9,0,357,133,224,15.47,5522.88,96.19,12.0,1154.23,57.42,0.209,20,3,1,5504.59,6169.67,351.0,109.85,4866.297142857143,302.7142857142857,65.30285714285714
2024-01-21,R0001,Karlsruhe,casual_dining,6,Sunday,1,1,0,cloudy,-0.8,0,309,83,226,16.09,4972.53,75.33,12.0,903.97,66.01,0.1818,21,3,1,5522.88,4379.66,298.0,74.2,4773.898571428572,303.57142857142856,65.48142857142857
