date,restaurant_id,city,restaurant_type,weekday,weekday_name,month,is_weekend,is_holiday,weather,temperature,promotion_active,orders,delivery_orders,dine_in_orders,avg_order_value,revenue,staff_hours,hourly_wage,labor_cost,productivity_per_hour,personnel_cost_ratio
2024-01-01,R0001,Karlsruhe,casual_dining,0,Monday,1,0,1,rainy,7.2,0,180,29,151,14.27,2568.58,41.54,12.0,498.43,61.84,0.194
2024-01-02,R0001,Karlsruhe,casual_dining,1,Tuesday,1,0,0,cloudy,9.8,0,269,68,201,15.95,4289.22,78.13,12.0,937.59,54.9,0.2186
2024-01-03,R0001,Karlsruhe,casual_dining,2,Wednesday,1,0,0,snowy,-6.3,0,191,47,144,17.77,3394.1,57.73,12.0,692.77,58.79,0.2041
2024-01-04,R0001,Karlsruhe,casual_dining,3,Thursday,1,0,0,rainy,1.1,0,284,68,216,16.16,4588.34,65.74,12.0,788.88,69.8,0.1719
2024-01-05,R0001,Karlsruhe,casual_dining,4,Friday,1,0,0,sunny,3.3,0,398,83,315,14.48,5761.18,103.73,12.0,1244.73,55.54,0.2161
2024-01-06,R0001,Karlsruhe,casual_dining,5,Saturday,1,1,0,snowy,0.3,0,342,111,231,15.87,5426.26,92.38,12.0,1108.59,58.74,0.2043
2024-01-07,R0001,Karlsruhe,casual_dining,6,Sunday,1,1,0,sunny,8.2,0,332,115,217,13.25,4397.95,65.81,12.0,789.72,66.83,0.1796
2024-01-08,R0001,Karlsruhe,casual_dining,0,Monday,1,0,0,cloudy,4.5,0,215,33,182,13.77,2960.5,48.47,12.0,581.59,61.08,0.1964
2024-01-09,R0001,Karlsruhe,casual_dining,1,Tuesday,1,0,0,rainy,6.6,0,185,33,152,15.92,2945.58,48.31,12.0,579.76,60.97,0.1968
2024-01-10,R0001,Karlsruhe,casual_dining,2,Wednesday,1,0,0,snowy,7.5,0,236,56,180,16.84,3974.14,65.62,12.0,787.49,60.56,0.1982
2024-01-11,R0001,Karlsruhe,casual_dining,3,Thursday,1,0,0,sunny,0.5,0,342,89,253,15.34,5246.13,80.08,12.0,960.96,65.51,0.1832
2024-01-12,R0001,Karlsruhe,casual_dining,4,Friday,1,0,0,sunny,3.4,0,308,15,293,13.92,4288.77,62.69,12.0,752.31,68.41,0.1754
2024-01-13,R0001,Karlsruhe,casual_dining,5,Saturday,1,1,0,snowy,7.7,0,351,75,276,17.58,6169.67,109.85,12.0,1318.15,56.17,0.2137
2024-01-14,R0001,Karlsruhe,casual_dining,6,Sunday,1,1,0,rainy,4.5,1,298,57,241,14.7,4379.66,74.2,12.0,890.38,59.03,0.2033
2024-01-15,R0001,Karlsruhe,casual_dining,0,Monday,1,0,0,cloudy,12.6,1,261,54,207,16.47,4298.28,55.06,12.0,660.75,78.06,0.1537
2024-01-16,R0001,Karlsruhe,casual_dining,1,Tuesday,1,0,0,sunny,8.6,0,247,62,185,15.0,3705.21,57.0,12.0,684.04,65.0,0.1846
2024-01-17,R0001,Karlsruhe,casual_dining,2,Wednesday,1,0,0,sunny,5.6,0,288,87,201,13.93,4012.27,60.83,12.0,729.99,65.96,0.1819
2024-01-18,R0001,Karlsruhe,casual_dining,3,Thursday,1,0,0,sunny,9.6,0,326,125,201,18.39,5994.4,94.65,12.0,1135.84,63.33,0.1895
2024-01-19,R0001,Karlsruhe,casual_dining,4,Friday,1,0,0,cloudy,4.8,0,348,85,263,15.82,5504.59,79.13,12.0,949.52,69.57,0.1725
2024-01-20,R0001,Karlsruhe,casual_dining,5,Saturday,1,1,0,cloudy,-3.9,0,357,133,224,15.47,5522.88,96.19,12.0,1154.23,57.42,0.209
2024-01-21,R0001,Karlsruhe,casual_dining,6,Sunday,1,1,0,cloudy,-0.8,0,309,83,226,16.09,4972.53,75.33,12.0,903.97,66.01,0.1818
2024-01-22,R0001,Karlsruhe,casual_dining,0,Monday,1,0,0,cloudy,9.3,0,323,108,215,16.14,5213.68,82.51,12.0,990.08,63.19,0.1899
2024-01-23,R0001,Karlsruhe,casual_dining,1,Tuesday,1,0,0,cloudy,6.9,0,240,36,204,16.41,3938.59,65.87,12.0,790.49,59.79,0.2007
2024-01-24,R0001,Karlsruhe,casual_dining,2,Wednesday,1,0,0,sunny,9.4,0,315,92,223,15.45,4866.79,62.34,12.0,748.1,78.07,0.1537
2024-01-25,R0001,Karlsruhe,casual_dining,3,Thursday,1,0,0,rainy,2.3,0,321,52,269,17.02,5461.86,72.78,12.0,873.37,75.05,0.1599
2024-01-26,R0001,Karlsruhe,casual_dining,4,Friday,1,0,0,snowy,-10.8,0,296,76,220,15.12,4476.69,59.24,12.0,710.92,75.56,0.1588
