date,weekday,weekday_name,month,week_of_year,quarter,is_weekend,is_holiday,year
2024-01-01,0,Monday,1,1,1,0,1,2024
2024-01-02,1,Tuesday,1,1,1,0,0,2024
2024-01-03,2,Wednesday,1,1,1,0,0,2024
2024-01-04,3,Thursday,1,1,1,0,0,2024
2024-01-05,4,Friday,1,1,1,0,0,2024
2024-01-06,5,Saturday,1,1,1,1,0,2024
2024-01-07,6,Sunday,1,1,1,1,0,2024
2024-01-08,0,Monday,1,2,1,0,0,2024
2024-01-09,1,Tuesday,1,2,1,0,0,2024
2024-01-10,2,Wednesday,1,2,1,0,0,2024
2024-01-11,3,Thursday,1,2,1,0,0,2024
2024-01-12,4,Friday,1,2,1,0,0,2024
2024-01-13,5,Saturday,1,2,1,1,0,2024
2024-01-14,6,Sunday,1,2,1,1,0,2024
2024-01-15,0,Monday,1,3,1,0,0,2024
2024-01-16,1,Tuesday,1,3,1,0,0,2024
2024-01-17,2,Wednesday,1,3,1,0,0,2024
2024-01-18,3,Thursday,1,3,1,0,0,2024
2024-01-19,4,Friday,1,3,1,0,0,2024
2024-01-20,5,Saturday,1,3,1,1,0,2024
2024-01-21,6,Sunday,1,3,1,1,0,2024
2024-01-22,0,Monday,1,4,1,0,0,2024
2024-01-23,1,Tuesday,1,4,1,0,0,2024
2024-01-24,2,Wednesday,1,4,1,0,0,2024
2024-01-25,3,Thursday,1,4,1,0,0,2024
2024-01-26,4,Friday,1,4,1,0,0,2024
2024-01-27,5,Saturday,1,4,1,1,0,2024
2024-01-28,6,Sunday,1,4,1,1,0,2024
2024-01-29,0,Monday,1,5,1,0,0,2024
2024-01-30,1,Tuesday,1,5,1,0,0,2024
2024-01-31,2,Wednesday,1,5,1,0,0,2024
2024-02-01,3,Thursday,2,5,1,0,0,2024
2024-02-02,4,Friday,2,5,1,0,0,2024
2024-02-03,5,Saturday,2,5,1,1,0,2024
2024-02-04,6,Sunday,2,5,1,1,0,2024
2024-02-05,0,Monday,2,6,1,0,0,2024
2024-02-06,1,Tuesday,2,6,1,0,0,2024
2024-02-07,2,Wednesday,2,6,1,0,0,2024
2024-02-08,3,Thursday,2,6,1,0,0,2024
2024-02-09,4,Friday,2,6,1,0,0,2024
2024-02-10,5,Saturday,2,6,1,1,0,2024
2024-02-11,6,Sunday,2,6,1,1,0,2024
2024-02-12,0,Monday,2,7,1,0,0,2024
2024-02-13,1,Tuesday,2,7,1,0,0,2024
2024-02-14,2,Wednesday,2,7,1,0,0,2024
2024-02-15,3,Thursday,2,7,1,0,0,2024
2024-02-16,4,Friday,2,7,1,0,0,2024
2024-02-17,5,Saturday,2,7,1,1,0,2024
