restaurant_id,city,restaurant_type,hourly_wage
R0001,Karlsruhe,casual_dining,12.0
R0002,Heidelberg,delivery_focused,13.37
R0003,Darmstadt,coffee_shop,13.35
R0004,Freiburg,fast_food,15.04
R0005,Karlsruhe,family_restaurant,16.83
R0006,Freiburg,fast_food,14.48
R0007,Freiburg,casual_dining,13.4
R0008,Mannheim,coffee_shop,13.84
R0009,Heidelberg,fast_food,17.2
R0010,Mannheim,delivery_focused,14.7
R0011,Stuttgart,fast_food,17.92
R0012,Stuttgart,delivery_focused,17.28
R0013,Frankfurt,casual_dining,12.31
R0014,Karlsruhe,fast_food,17.23
R0015,Stuttgart,coffee_shop,13.85
R0016,Heidelberg,fast_food,14.33
R0017,Freiburg,coffee_shop,14.44
R0018,Darmstadt,casual_dining,13.01
R0019,Stuttgart,fast_food,17.34
R0020,Frankfurt,fast_food,17.6
R0021,Heidelberg,coffee_shop,15.68
R0022,Mannheim,casual_dining,14.9
R0023,Heidelberg,fast_food,16.39
R0024,Mannheim,coffee_shop,14.53
R0025,Frankfurt,fast_food,16.28
R0026,Frankfurt,casual_dining,13.03
R0027,Heidelberg,fast_food,15.15
R0028,Darmstadt,family_restaurant,12.0
R0029,Karlsruhe,coffee_shop,17.96
R0030,Darmstadt,fast_food,20.82
R0031,Stuttgart,fast_food,15.11
R0032,Heidelberg,family_restaurant,12.44
R0033,Darmstadt,delivery_focused,16.21
R0034,Freiburg,delivery_focused,16.57
R0035,Mannheim,family_restaurant,19.81
R0036,Darmstadt,fast_food,13.26
R0037,Mannheim,casual_dining,19.02
R0038,Freiburg,coffee_shop,13.39
R0039,Mannheim,delivery_focused,15.58
R0040,Darmstadt,fast_food,18.84
R0041,Freiburg,fast_food,12.79
R0042,Freiburg,casual_dining,13.37
R0043,Stuttgart,delivery_focused,13.68
R0044,Stuttgart,fast_food,14.18
R0045,Karlsruhe,delivery_focused,12.28
R0046,Frankfurt,delivery_focused,14.58
R0047,Darmstadt,fast_food,16.59
R0048,Heidelberg,fast_food,14.83
R0049,Heidelberg,coffee_shop,16.38
R0050,Karlsruhe,delivery_focused,15.26
R0051,Frankfurt,casual_dining,18.48
R0052,Stuttgart,family_restaurant,16.64
R0053,Mannheim,delivery_focused,15.24
R0054,Heidelberg,casual_dining,14.91
R0055,Darmstadt,fast_food,19.82
R0056,Darmstadt,casual_dining,12.87
R0057,Heidelberg,family_restaurant,16.6
R0058,Freiburg,coffee_shop,15.67
R0059,Darmstadt,fast_food,18.43
R0060,Heidelberg,coffee_shop,15.33
