date,restaurant_id,weather,temperature,promotion_active,orders,delivery_orders,dine_in_orders,avg_order_value,revenue,staff_hours,labor_cost,productivity_per_hour,personnel_cost_ratio
2024-01-01,R0001,rainy,7.2,0,180,29,151,14.27,2568.58,41.54,498.43,61.84,0.194
2024-01-01,R0024,rainy,5.1,0,111,24,87,10.42,1157.04,19.51,283.43,59.3,0.245
2024-01-01,R0025,rainy,4.3,0,82,21,61,9.38,768.78,12.0,195.41,64.06,0.2542
2024-01-01,R0026,sunny,-2.6,0,282,70,212,14.14,3987.01,72.4,943.14,55.07,0.2366
2024-01-01,R0056,sunny,7.8,0,166,31,135,12.33,2046.39,26.65,342.98,76.78,0.1676
2024-01-01,R0028,rainy,8.7,0,83,7,76,10.5,871.4,12.0,144.0,72.62,0.1653
2024-01-01,R0029,cloudy,8.3,0,174,39,135,13.51,2350.12,26.79,481.0,87.74,0.2047
2024-01-01,R0030,rainy,3.3,0,125,9,116,12.5,1562.39,15.4,320.65,101.45,0.2052
2024-01-01,R0031,cloudy,2.4,0,209,49,160,14.63,3058.05,38.64,583.83,79.14,0.1909
2024-01-01,R0055,cloudy,0.2,0,72,12,60,11.04,795.2,12.0,237.82,66.27,0.2991
2024-01-01,R0032,cloudy,2.8,0,160,34,126,12.08,1933.55,31.6,392.92,61.2,0.2032
2024-01-01,R0033,cloudy,3.5,0,166,49,117,13.96,2317.96,25.85,419.1,89.68,0.1808
2024-01-01,R0034,cloudy,-5.3,0,120,38,82,16.82,2018.66,19.11,316.76,105.61,0.1569
2024-01-01,R0035,sunny,7.9,0,86,19,67,15.02,1291.59,16.61,329.07,77.75,0.2548
2024-01-01,R0036,snowy,1.4,0,183,49,134,10.72,1961.99,21.55,285.78,91.06,0.1457
2024-01-01,R0054,rainy,7.8,0,215,25,190,6.11,1314.3,15.61,232.71,84.2,0.1771
2024-01-01,R0037,rainy,2.0,0,131,25,106,15.76,2065.07,20.89,397.31,98.85,0.1924
2024-01-01,R0038,rainy,3.5,0,59,5,54,12.69,748.94,12.0,160.7,62.41,0.2146
2024-01-01,R0039,rainy,-2.4,0,175,48,127,11.07,1937.4,24.82,386.69,78.04,0.1996
2024-01-01,R0040,sunny,3.7,0,213,63,150,13.74,2925.7,35.32,665.55,82.83,0.2275
2024-01-01,R0041,rainy,5.2,0,135,27,108,13.54,1828.41,19.91,254.67,91.82,0.1393
2024-01-01,R0053,rainy,1.9,0,140,50,90,14.93,2089.81,26.35,401.62,79.31,0.1922
2024-01-01,R0023,sunny,7.0,0,160,25,135,13.63,2180.59,17.05,279.43,127.92,0.1281
2024-01-01,R0042,cloudy,17.9,1,299,80,219,19.32,5776.14,72.38,967.56,79.8,0.1675
2024-01-01,R0022,sunny,0.9,0,150,34,116,17.17,2575.02,37.93,565.27,67.88,0.2195
2024-01-01,R0021,rainy,0.3,0,115,27,88,8.92,1025.96,16.21,254.11,63.31,0.2477
2024-01-01,R0003,sunny,15.4,0,184,26,158,15.99,2942.75,31.48,420.37,93.47,0.1428
2024-01-01,R0004,rainy,6.3,0,189,67,122,13.2,2495.65,32.33,486.21,77.19,0.1948
2024-01-01,R0005,cloudy,-1.3,0,118,26,92,10.74,1267.9,12.0,201.97,105.66,0.1593
2024-01-01,R0060,sunny,4.3,0,213,19,194,10.61,2260.8,32.86,503.85,68.8,0.2229
2024-01-01,R0006,rainy,1.6,0,180,59,121,18.09,3255.5,38.94,564.02,83.6,0.1733
2024-01-01,R0007,sunny,0.5,0,165,22,143,14.91,2459.66,39.54,529.77,62.21,0.2154
2024-01-01,R0008,sunny,16.8,0,188,17,171,13.61,2558.07,28.2,390.22,90.7,0.1525
2024-01-01,R0009,cloudy,-0.8,0,167,31,136,11.8,1970.8,22.04,379.06,89.41,0.1923
2024-01-01,R0010,cloudy,5.4,0,156,60,96,10.57,1648.28,22.01,323.55,74.89,0.1963
2024-01-01,R0059,cloudy,7.2,0,186,9,177,13.01,2420.09,24.28,447.37,99.69,0.1849
2024-01-01,R0011,cloudy,0.9,0,213,65,148,13.34,2842.05,49.29,883.29,57.66,0.3108
2024-01-01,R0012,cloudy,14.8,0,133,17,116,16.42,2184.34,19.85,342.98,110.04,0.157
2024-01-01,R0013,sunny,3.6,0,197,67,130,10.94,2154.49,37.48,461.45,57.48,0.2142
2024-01-01,R0014,cloudy,-0.7,0,159,43,116,14.19,2256.48,32.74,563.96,68.92,0.2499
2024-01-01,R0015,snowy,7.2,1,103,27,76,14.67,1511.36,19.7,272.72,76.73,0.1804
2024-01-01,R0016,rainy,5.2,0,78,6,72,14.61,1139.69,12.0,171.92,94.97,0.1508
2024-01-01,R0058,cloudy,-1.0,0,225,56,169,11.97,2694.28,42.57,666.92,63.29,0.2475
2024-01-01,R0017,rainy,-1.4,0,138,39,99,14.43,1991.32,25.05,361.73,79.5,0.1817
2024-01-01,R0018,sunny,9.0,0,100,15,85,9.23,922.64,12.0,156.08,76.89,0.1692
2024-01-01,R0019,rainy,3.8,0,149,12,137,12.2,1817.26,29.4,509.87,61.82,0.2806
2024-01-01,R0020,rainy,4.4,0,89,4,85,12.65,1125.69,18.88,332.24,59.64,0.2951
2024-01-01,R0057,sunny,6.5,0,236,57,179,18.33,4326.59,38.43,637.79,112.59,0.1474
2024-01-01,R0043,cloudy,0.1,0,155,61,94,16.44,2548.37,31.98,437.45,79.68,0.1717
