date,restaurant_id,city,restaurant_type,weekday_name,revenue,predicted_revenue,orders,staff_hours,recommended_staff_hours,staffing_gap_hours,personnel_cost_ratio,predicted_personnel_cost_ratio,productivity_per_hour,absolute_percentage_error,anomaly_flag,priority,recommendation
2024-12-31,R0001,Karlsruhe,casual_dining,Tuesday,4238.99,4179.09,259,72.42,56.27,-16.15,0.205,0.1616,58.54,1.41,0,High,Review potential overstaffing and reduce planned hours
2024-12-31,R0006,Freiburg,fast_food,Tuesday,4791.71,4295.09,241,69.38,54.55,-14.83,0.2097,0.1839,69.07,10.36,0,High,Review potential overstaffing and reduce planned hours
2024-12-31,R0010,Mannheim,delivery_focused,Tuesday,3141.23,1964.8,264,41.9,22.76,-19.14,0.1961,0.1703,74.97,37.45,1,High,Review potential overstaffing and reduce planned hours
2024-12-31,R0011,Stuttgart,fast_food,Tuesday,5256.83,4073.04,449,77.0,51.73,-25.27,0.2625,0.2276,68.27,22.52,0,High,Review potential overstaffing and reduce planned hours
2024-12-31,R0014,Karlsruhe,fast_food,Tuesday,3972.46,3100.52,240,57.18,39.38,-17.8,0.2479,0.2188,69.48,21.95,0,High,Review potential overstaffing and reduce planned hours
2024-12-31,R0020,Frankfurt,fast_food,Tuesday,2483.24,1851.85,181,49.73,23.52,-26.21,0.3525,0.2235,49.93,25.43,1,High,Review potential overstaffing and reduce planned hours
2024-12-31,R0026,Frankfurt,casual_dining,Tuesday,4696.98,3928.15,295,83.32,52.89,-30.43,0.2311,0.1754,56.38,16.37,0,High,Review potential overstaffing and reduce planned hours
2024-12-31,R0029,Karlsruhe,coffee_shop,Tuesday,3383.96,3980.11,265,38.58,52.69,14.11,0.2047,0.2378,87.71,17.62,0,High,Increase planned staff hours for expected demand
2024-12-31,R0032,Heidelberg,family_restaurant,Tuesday,3789.83,2767.35,291,59.83,35.61,-24.22,0.1963,0.1601,63.34,26.98,1,High,Review potential overstaffing and reduce planned hours
2024-12-31,R0042,Freiburg,casual_dining,Tuesday,4245.67,7068.47,224,59.14,95.17,36.03,0.1862,0.18,71.8,66.49,1,High,Increase planned staff hours for expected demand
2024-12-31,R0043,Stuttgart,delivery_focused,Tuesday,5831.48,4271.11,303,80.68,49.47,-31.21,0.1892,0.1584,72.28,26.76,1,High,Review potential overstaffing and reduce planned hours
2024-12-31,R0045,Karlsruhe,delivery_focused,Tuesday,2834.99,2490.27,147,45.11,28.85,-16.26,0.1954,0.1423,62.84,12.16,0,High,Review potential overstaffing and reduce planned hours
2024-12-31,R0058,Freiburg,coffee_shop,Tuesday,5885.56,4321.04,472,91.14,57.2,-33.94,0.2426,0.2074,64.58,26.58,1,High,Review potential overstaffing and reduce planned hours
2024-12-30,R0016,Heidelberg,fast_food,Monday,1381.54,1967.7,106,19.42,24.99,5.57,0.2013,0.182,71.16,42.43,1,High,Check forecast deviation and possible local event/anomaly
2024-12-30,R0019,Stuttgart,fast_food,Monday,2964.68,2564.01,227,46.69,32.56,-14.13,0.2732,0.2202,63.49,13.51,0,High,Review potential overstaffing and reduce planned hours
2024-12-30,R0022,Mannheim,casual_dining,Monday,2909.52,2336.53,159,51.03,31.46,-19.57,0.2614,0.2006,57.01,19.69,0,High,Review potential overstaffing and reduce planned hours
